timestamp,trigger_code,event_label,trial_info
1774043891.384389162,participant_name_onset,participant_name_onset,
1774043895.673227072,participant_name_offset,participant_name_offset,
1774043895.675499916,experiment_start,experiment_start,participant=kahini
1774043895.710324049,welcome_onset,welcome_onset,
1774043897.074798107,welcome_enter,welcome_enter,
1774043897.075000048,welcome_offset,welcome_offset,
1774043897.166718960,tutorial_fallback_onset,tutorial_fallback_onset,step=1
1774043899.684942007,tutorial_fallback_offset,tutorial_fallback_offset,step=1
1774043899.685733080,tutorial_fallback_onset,tutorial_fallback_onset,step=2
1774043902.745366096,tutorial_fallback_offset,tutorial_fallback_offset,step=2
1774043902.746331930,tutorial_fallback_onset,tutorial_fallback_onset,step=3
1774043905.812169075,tutorial_fallback_offset,tutorial_fallback_offset,step=3
1774043905.814073086,tutorial_fallback_onset,tutorial_fallback_onset,step=4
1774043908.870280027,tutorial_fallback_offset,tutorial_fallback_offset,step=4
1774043908.871506929,tutorial_fallback_onset,tutorial_fallback_onset,step=5a
1774043911.948460102,tutorial_fallback_offset,tutorial_fallback_offset,step=5a
1774043911.949221134,tutorial_fallback_onset,tutorial_fallback_onset,step=5b
1774043916.006088018,tutorial_fallback_offset,tutorial_fallback_offset,step=5b
1774043916.008438110,tutorial_fallback_onset,tutorial_fallback_onset,step=6
1774043918.567240000,tutorial_fallback_offset,tutorial_fallback_offset,step=6
1774043918.607177973,tutorial_transition_onset,tutorial_transition_onset,
1774043938.637928009,tutorial_transition_enter,tutorial_transition_enter,
1774043938.638606071,tutorial_transition_offset,tutorial_transition_offset,
1774043938.716840982,phase1_instr1_onset,phase1_instr1_onset,
1774043940.825907946,phase1_instr1_enter,phase1_instr1_enter,
1774043940.826373100,phase1_instr1_offset,phase1_instr1_offset,
1774043940.895482063,phase1_instr2_onset,phase1_instr2_onset,
1774043954.157522917,phase1_instr2_enter,phase1_instr2_enter,
1774043954.158306122,phase1_instr2_offset,phase1_instr2_offset,
1774043954.233472109,phase1_instr3_onset,phase1_instr3_onset,
1774043956.257204056,phase1_instr3_enter,phase1_instr3_enter,
1774043956.257506132,phase1_instr3_offset,phase1_instr3_offset,
1774043956.323053122,phase1_instr4_onset,phase1_instr4_onset,
1774043961.381404877,phase1_instr4_enter,phase1_instr4_enter,
1774043961.382761002,phase1_instr4_offset,phase1_instr4_offset,
1774043961.454724073,phase1_before_grid_onset,phase1_before_grid_onset,
1774043981.041846037,phase1_before_grid_enter,phase1_before_grid_enter,
1774043981.042319775,phase1_before_grid_offset,phase1_before_grid_offset,
1774043981.272410154,phase1_grid_onset,phase1_grid_onset,
1774043986.289916992,phase1_grid_offset,phase1_grid_offset,
1774043986.308319092,phase1_fixation_onset,phase1_fixation_onset,
1774043987.325119019,phase1_fixation_offset,phase1_fixation_offset,
1774043987.349838018,phase1_instruction2a_onset,phase1_instruction2a_onset,
1774043998.946134090,phase1_instruction2a_enter,phase1_instruction2a_enter,
1774043998.946821928,phase1_instruction2a_offset,phase1_instruction2a_offset,
1774043999.023720980,phase1_instruction2c_onset,phase1_instruction2c_onset,
1774044002.773529053,phase1_instruction2c_enter,phase1_instruction2c_enter,
1774044002.773957968,phase1_instruction2c_offset,phase1_instruction2c_offset,
1774044002.850302935,phase1_stimulus_onset,phase1_stimulus_onset,trial=1
1774044003.856548071,phase1_stimulus_offset,phase1_stimulus_offset,trial=1
1774044004.958275080,phase1_click_place,phase1_click_place,trial=1 shape=Shape_2_0.png click=1
1774044005.431888819,phase1_enter_submit,phase1_enter_submit,trial=1 shape=Shape_2_0.png
1774044005.515994787,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=1
1774044005.523624897,phase1_stimulus_onset,phase1_stimulus_onset,trial=2
1774044006.527966022,phase1_stimulus_offset,phase1_stimulus_offset,trial=2
1774044007.047589779,phase1_click_place,phase1_click_place,trial=2 shape=Shape_3_2.png click=1
1774044007.363175869,phase1_enter_submit,phase1_enter_submit,trial=2 shape=Shape_3_2.png
1774044007.450404167,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=2
1774044007.458806038,phase1_stimulus_onset,phase1_stimulus_onset,trial=3
1774044008.462223053,phase1_stimulus_offset,phase1_stimulus_offset,trial=3
1774044008.960662127,phase1_click_place,phase1_click_place,trial=3 shape=Shape_0_3.png click=1
1774044009.278316975,phase1_enter_submit,phase1_enter_submit,trial=3 shape=Shape_0_3.png
1774044009.366500139,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=3
1774044009.377235889,phase1_stimulus_onset,phase1_stimulus_onset,trial=4
1774044010.382323980,phase1_stimulus_offset,phase1_stimulus_offset,trial=4
1774044010.830955982,phase1_click_place,phase1_click_place,trial=4 shape=Shape_1_1.png click=1
1774044011.143610001,phase1_enter_submit,phase1_enter_submit,trial=4 shape=Shape_1_1.png
1774044011.350825071,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=4
1774044011.360345125,phase1_stimulus_onset,phase1_stimulus_onset,trial=5
1774044012.367227793,phase1_stimulus_offset,phase1_stimulus_offset,trial=5
1774044012.931504011,phase1_click_place,phase1_click_place,trial=5 shape=Shape_3_0.png click=1
1774044013.228322983,phase1_enter_submit,phase1_enter_submit,trial=5 shape=Shape_3_0.png
1774044013.337290049,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=5
1774044013.349058151,phase1_stimulus_onset,phase1_stimulus_onset,trial=6
1774044014.355504036,phase1_stimulus_offset,phase1_stimulus_offset,trial=6
1774044015.010436058,phase1_click_place,phase1_click_place,trial=6 shape=Shape_3_1.png click=1
1774044015.278290987,phase1_enter_submit,phase1_enter_submit,trial=6 shape=Shape_3_1.png
1774044015.384209871,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=6
1774044015.397040129,phase1_stimulus_onset,phase1_stimulus_onset,trial=7
1774044016.401530027,phase1_stimulus_offset,phase1_stimulus_offset,trial=7
1774044017.760450125,phase1_click_place,phase1_click_place,trial=7 shape=Shape_2_3.png click=1
1774044018.095031023,phase1_enter_submit,phase1_enter_submit,trial=7 shape=Shape_2_3.png
1774044018.206856012,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=7
1774044018.218761921,phase1_stimulus_onset,phase1_stimulus_onset,trial=8
1774044019.224045992,phase1_stimulus_offset,phase1_stimulus_offset,trial=8
1774044019.760350943,phase1_click_place,phase1_click_place,trial=8 shape=Shape_1_0.png click=1
1774044020.166229010,phase1_enter_submit,phase1_enter_submit,trial=8 shape=Shape_1_0.png
1774044020.471086025,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=8
1774044020.488380909,phase1_stimulus_onset,phase1_stimulus_onset,trial=9
1774044021.496827841,phase1_stimulus_offset,phase1_stimulus_offset,trial=9
1774044022.127499104,phase1_click_place,phase1_click_place,trial=9 shape=Shape_0_2.png click=1
1774044022.412859917,phase1_enter_submit,phase1_enter_submit,trial=9 shape=Shape_0_2.png
1774044022.534153938,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=9
1774044022.544973135,phase1_stimulus_onset,phase1_stimulus_onset,trial=10
1774044023.550146103,phase1_stimulus_offset,phase1_stimulus_offset,trial=10
1774044024.394430876,phase1_click_place,phase1_click_place,trial=10 shape=Shape_2_1.png click=1
1774044024.644652128,phase1_enter_submit,phase1_enter_submit,trial=10 shape=Shape_2_1.png
1774044024.770015001,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=10
1774044024.779004812,phase1_stimulus_onset,phase1_stimulus_onset,trial=11
1774044025.784791946,phase1_stimulus_offset,phase1_stimulus_offset,trial=11
1774044026.333514929,phase1_click_place,phase1_click_place,trial=11 shape=Shape_0_0.png click=1
1774044026.610174894,phase1_enter_submit,phase1_enter_submit,trial=11 shape=Shape_0_0.png
1774044026.829004049,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=11
1774044026.850037098,phase1_stimulus_onset,phase1_stimulus_onset,trial=12
1774044027.857300043,phase1_stimulus_offset,phase1_stimulus_offset,trial=12
1774044028.355944872,phase1_click_place,phase1_click_place,trial=12 shape=Shape_1_2.png click=1
1774044028.613578081,phase1_enter_submit,phase1_enter_submit,trial=12 shape=Shape_1_2.png
1774044029.002519131,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=12
1774044029.017296791,phase1_stimulus_onset,phase1_stimulus_onset,trial=13
1774044030.024636984,phase1_stimulus_offset,phase1_stimulus_offset,trial=13
1774044030.901930094,phase1_click_place,phase1_click_place,trial=13 shape=Shape_2_2.png click=1
1774044031.432728052,phase1_enter_submit,phase1_enter_submit,trial=13 shape=Shape_2_2.png
1774044031.665913105,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=13
1774044031.691260815,phase1_stimulus_onset,phase1_stimulus_onset,trial=14
1774044032.698220968,phase1_stimulus_offset,phase1_stimulus_offset,trial=14
1774044033.403178930,phase1_click_place,phase1_click_place,trial=14 shape=Shape_1_3.png click=1
1774044033.689359188,phase1_enter_submit,phase1_enter_submit,trial=14 shape=Shape_1_3.png
1774044033.946502924,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=14
1774044033.962275028,phase1_stimulus_onset,phase1_stimulus_onset,trial=15
1774044034.968173027,phase1_stimulus_offset,phase1_stimulus_offset,trial=15
1774044036.319186926,phase1_click_place,phase1_click_place,trial=15 shape=Shape_3_3.png click=1
1774044036.616290092,phase1_enter_submit,phase1_enter_submit,trial=15 shape=Shape_3_3.png
1774044036.807414055,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=15
1774044036.825064898,phase1_stimulus_onset,phase1_stimulus_onset,trial=16
1774044037.832701921,phase1_stimulus_offset,phase1_stimulus_offset,trial=16
1774044038.471095085,phase1_click_place,phase1_click_place,trial=16 shape=Shape_0_1.png click=1
1774044038.763353109,phase1_enter_submit,phase1_enter_submit,trial=16 shape=Shape_0_1.png
1774044039.194419861,phase1_placements_saved,phase1_placements_saved,phase1_placements_kahini_20260320_175811.png trial=16
1774044039.278939962,phase2_instr1_onset,phase2_instr1_onset,
1774044045.026249886,phase2_instr1_enter,phase2_instr1_enter,
1774044045.027544975,phase2_instr1_offset,phase2_instr1_offset,
1774044045.095547915,phase2_instr2_onset,phase2_instr2_onset,
1774044077.474139929,phase2_instr2_enter,phase2_instr2_enter,
1774044077.476410151,phase2_instr2_offset,phase2_instr2_offset,
1774044077.549517155,phase2_instr3_onset,phase2_instr3_onset,
1774045080.619374037,phase2_instr3_enter,phase2_instr3_enter,
1774045080.622677088,phase2_instr3_offset,phase2_instr3_offset,
1774045080.712957859,phase2_instr4_onset,phase2_instr4_onset,
1774045087.061437845,phase2_instr4_enter,phase2_instr4_enter,
1774045087.062416792,phase2_instr4_offset,phase2_instr4_offset,
1774045087.131858826,phase2_instr5_onset,phase2_instr5_onset,
1774045088.404111147,phase2_instr5_enter,phase2_instr5_enter,
1774045088.404524088,phase2_instr5_offset,phase2_instr5_offset,
1774045088.467419863,phase2_instr6_onset,phase2_instr6_onset,
1774045093.525088072,phase2_instr6_enter,phase2_instr6_enter,
1774045093.526079893,phase2_instr6_offset,phase2_instr6_offset,
1774045093.596816778,phase2_tutorial_intro_onset,phase2_tutorial_intro_onset,
1774045114.287332058,phase2_tutorial_intro_enter,phase2_tutorial_intro_enter,
1774045114.288527966,phase2_tutorial_intro_offset,phase2_tutorial_intro_offset,
1774045114.553973913,phase2_tutorial_fixation_onset,phase2_tutorial_fixation_onset,
1774045115.064221859,phase2_tutorial_fixation_offset,phase2_tutorial_fixation_offset,
1774045115.065126896,phase2_tutorial_context1_onset,phase2_tutorial_context1_onset,
1774045116.085605860,phase2_tutorial_context1_offset,phase2_tutorial_context1_offset,
1774045116.086258888,phase2_tutorial_shape_onset,phase2_tutorial_shape_onset,
1774045117.094949007,phase2_tutorial_shape_offset,phase2_tutorial_shape_offset,
1774045117.095642805,phase2_tutorial_blank_onset,phase2_tutorial_blank_onset,
1774045118.121439934,phase2_tutorial_blank_offset,phase2_tutorial_blank_offset,
1774045118.122372150,phase2_tutorial_reddot_onset,phase2_tutorial_reddot_onset,
1774045121.148051977,phase2_tutorial_reddot_offset,phase2_tutorial_reddot_offset,
1774045121.148856163,phase2_tutorial_context2_onset,phase2_tutorial_context2_onset,
1774045122.166325092,phase2_tutorial_context2_offset,phase2_tutorial_context2_offset,
1774045122.167002201,phase2_tutorial_shape2_onset,phase2_tutorial_shape2_onset,
1774045123.176390886,phase2_tutorial_shape2_offset,phase2_tutorial_shape2_offset,
1774045123.177221775,phase2_tutorial_blank2_onset,phase2_tutorial_blank2_onset,
1774045124.183897018,phase2_tutorial_blank2_offset,phase2_tutorial_blank2_offset,
1774045124.186000824,phase2_tutorial_reddot2_onset,phase2_tutorial_reddot2_onset,
1774045127.202685833,phase2_tutorial_reddot2_offset,phase2_tutorial_reddot2_offset,
1774045127.222705841,phase2_tutorial_question_onset,phase2_tutorial_question_onset,
1774045128.758655071,phase2_tutorial_response,phase2_tutorial_response,SPACE
1774045129.760002136,phase2_tutorial_question_offset,phase2_tutorial_question_offset,
1774045129.761021852,phase2_tutorial_post_blank_onset,phase2_tutorial_post_blank_onset,
1774045132.770633936,phase2_tutorial_post_blank_offset,phase2_tutorial_post_blank_offset,
1774045132.796648979,phase2_ready_onset,phase2_ready_onset,
1774045147.355045795,phase2_ready_enter,phase2_ready_enter,
1774045147.357187033,phase2_ready_offset,phase2_ready_offset,
1774045147.456934929,phase2_fixation_onset,phase2_fixation_onset,trial=1
1774045147.961941957,phase2_fixation_offset,phase2_fixation_offset,trial=1
1774045148.075441837,phase2_context1_onset,phase2_context1_onset,trial=1
1774045149.079446077,phase2_context1_offset,phase2_context1_offset,trial=1
1774045149.079879999,phase2_shape_onset,phase2_shape_onset,trial=1
1774045150.093455791,phase2_shape_offset,phase2_shape_offset,trial=1
1774045150.095288038,phase2_blank1_onset,phase2_blank1_onset,trial=1
1774045151.105386019,phase2_blank1_offset,phase2_blank1_offset,trial=1
1774045151.105887890,phase2_reddot_onset,phase2_reddot_onset,trial=1
1774045154.124229908,phase2_reddot_offset,phase2_reddot_offset,trial=1
1774045154.124545097,phase2_context2_onset,phase2_context2_onset,trial=1
1774045155.145170927,phase2_context2_offset,phase2_context2_offset,trial=1
1774045155.145637989,phase2_shape2_onset,phase2_shape2_onset,trial=1
1774045156.155860901,phase2_shape2_offset,phase2_shape2_offset,trial=1
1774045156.156198978,phase2_blank2_onset,phase2_blank2_onset,trial=1
1774045157.168033123,phase2_blank2_offset,phase2_blank2_offset,trial=1
1774045157.168610096,phase2_reddot2_onset,phase2_reddot2_onset,trial=1
1774045160.197181940,phase2_reddot2_offset,phase2_reddot2_offset,trial=1
1774045160.233656168,phase2_question_onset,phase2_question_onset,trial=1
1774045161.578315973,phase2_response,phase2_response,trial=1 response=BEDROOM
1774045161.579843998,phase2_question_offset,phase2_question_offset,trial=1
1774045161.588399172,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=1
1774045162.094674826,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=1
1774045162.095231056,phase2_fixation_onset,phase2_fixation_onset,trial=2
1774045162.602219105,phase2_fixation_offset,phase2_fixation_offset,trial=2
1774045162.721854925,phase2_context1_onset,phase2_context1_onset,trial=2
1774045163.728659868,phase2_context1_offset,phase2_context1_offset,trial=2
1774045163.729516983,phase2_shape_onset,phase2_shape_onset,trial=2
1774045164.741540194,phase2_shape_offset,phase2_shape_offset,trial=2
1774045164.742568970,phase2_blank1_onset,phase2_blank1_onset,trial=2
1774045165.750945091,phase2_blank1_offset,phase2_blank1_offset,trial=2
1774045165.751873970,phase2_reddot_onset,phase2_reddot_onset,trial=2
1774045168.762347937,phase2_reddot_offset,phase2_reddot_offset,trial=2
1774045168.763265133,phase2_context2_onset,phase2_context2_onset,trial=2
1774045169.788785934,phase2_context2_offset,phase2_context2_offset,trial=2
1774045169.789942026,phase2_shape2_onset,phase2_shape2_onset,trial=2
1774045170.799625874,phase2_shape2_offset,phase2_shape2_offset,trial=2
1774045170.800307035,phase2_blank2_onset,phase2_blank2_onset,trial=2
1774045171.807486057,phase2_blank2_offset,phase2_blank2_offset,trial=2
1774045171.808084965,phase2_reddot2_onset,phase2_reddot2_onset,trial=2
1774045174.815173149,phase2_reddot2_offset,phase2_reddot2_offset,trial=2
1774045174.845952988,phase2_question_onset,phase2_question_onset,trial=2
1774045175.334653854,phase2_response,phase2_response,trial=2 response=BOOKSTORE
1774045175.335184813,phase2_question_offset,phase2_question_offset,trial=2
1774045175.335953951,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=2
1774045175.840865135,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=2
1774045175.841572046,phase2_fixation_onset,phase2_fixation_onset,trial=3
1774045176.347344875,phase2_fixation_offset,phase2_fixation_offset,trial=3
1774045176.450415134,phase2_context1_onset,phase2_context1_onset,trial=3
1774045177.454335928,phase2_context1_offset,phase2_context1_offset,trial=3
1774045177.455286026,phase2_shape_onset,phase2_shape_onset,trial=3
1774045178.473536015,phase2_shape_offset,phase2_shape_offset,trial=3
1774045178.473911047,phase2_blank1_onset,phase2_blank1_onset,trial=3
1774045179.478970766,phase2_blank1_offset,phase2_blank1_offset,trial=3
1774045179.479789019,phase2_reddot_onset,phase2_reddot_onset,trial=3
1774045182.486730099,phase2_reddot_offset,phase2_reddot_offset,trial=3
1774045182.487732887,phase2_context2_onset,phase2_context2_onset,trial=3
1774045183.511438131,phase2_context2_offset,phase2_context2_offset,trial=3
1774045183.512406111,phase2_shape2_onset,phase2_shape2_onset,trial=3
1774045184.522634983,phase2_shape2_offset,phase2_shape2_offset,trial=3
1774045184.523303986,phase2_blank2_onset,phase2_blank2_onset,trial=3
1774045185.537292957,phase2_blank2_offset,phase2_blank2_offset,trial=3
1774045185.538267851,phase2_reddot2_onset,phase2_reddot2_onset,trial=3
1774045188.544601202,phase2_reddot2_offset,phase2_reddot2_offset,trial=3
1774045188.568668842,phase2_question_onset,phase2_question_onset,trial=3
1774045189.113351822,phase2_response,phase2_response,trial=3 response=SKY
1774045189.113989115,phase2_question_offset,phase2_question_offset,trial=3
1774045189.114433050,phase2_trial_iti_onset,phase2_trial_iti_onset,trial=3
1774045189.617416859,phase2_trial_iti_offset,phase2_trial_iti_offset,trial=3
1774045189.618492842,phase2_fixation_onset,phase2_fixation_onset,trial=4
1774045190.130655050,phase2_fixation_offset,phase2_fixation_offset,trial=4
1774045190.238795042,phase2_context1_onset,phase2_context1_onset,trial=4
1774045191.246273994,phase2_context1_offset,phase2_context1_offset,trial=4
1774045191.246814966,phase2_shape_onset,phase2_shape_onset,trial=4
1774045192.260632992,phase2_shape_offset,phase2_shape_offset,trial=4
1774045192.261524916,phase2_blank1_onset,phase2_blank1_onset,trial=4
1774045193.269984961,phase2_blank1_offset,phase2_blank1_offset,trial=4
1774045193.270323992,phase2_reddot_onset,phase2_reddot_onset,trial=4
1774045196.286352873,phase2_reddot_offset,phase2_reddot_offset,trial=4
1774045196.288305998,phase2_context2_onset,phase2_context2_onset,trial=4
1774045197.316113949,phase2_context2_offset,phase2_context2_offset,trial=4
